assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_004135345.1,GCF_004135345.1,Xylanimonas allomyrinae,2509459,ASM413534v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Xylanimonas,Xylanimonas allomyrinae
GCF_004135385.1,GCF_004135385.1,Xylanimonas protaetiae,2509457,ASM413538v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Xylanimonas,Xylanimonas protaetiae
GCF_004135405.1,GCF_004135405.1,Agromyces protaetiae,2509455,ASM413540v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,Agromyces protaetiae
GCF_004135585.1,GCF_004135585.1,Sphingosinicella sp. BN140058,1892855,ASM413558v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Sphingosinicella,Sphingosinicella sp. BN140058
GCF_004135935.1,GCF_004135935.1,Methylovirgula ligni,569860,ASM413593v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylovirgula,Methylovirgula ligni
GCF_004135975.1,GCF_004135975.1,Solidesulfovibrio carbinolicus,296842,ASM413597v1,resolved,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Solidesulfovibrio,Solidesulfovibrio carbinolicus
GCF_004136295.1,GCF_004136295.1,Methylibium sp. Pch-M,2082386,ASM413629v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,Methylibium sp. Pch-M
GCF_004136315.1,GCF_004136315.1,Mesorhizobium sp. Pch-S,2082387,ASM413631v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp. Pch-S
GCF_004139715.1,GCF_004139715.1,Muriicola soli,2507538,ASM413971v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muriicola,Muriicola soli
GCF_004168365.1,GCF_004168365.1,Pseudolysobacter antarcticus,2511995,ASM416836v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Pseudolysobacter,Pseudolysobacter antarcticus
GCF_004171285.1,GCF_004171285.1,Wolbachia pipientis wAlbB,1116230,ASM417128v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia pipientis
GCF_004193915.1,GCF_004193915.1,Pandoraea sp. XY-2,2518599,ASM419391v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea sp. XY-2
GCF_004208415.1,GCF_004208415.1,Ktedonosporobacter rubrisoli,2509675,ASM420841v1,resolved,Bacteria,Bacillati,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonosporobacteraceae,Ktedonosporobacter,Ktedonosporobacter rubrisoli
GCF_004208635.1,GCF_004208635.1,Leucobacter triazinivorans,1784719,ASM420863v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter triazinivorans
GCF_004210255.1,GCF_004210255.1,Blautia producta,33035,ASM421025v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia producta
GCF_004216475.1,GCF_004216475.1,Thalassococcus sp. S3,2017482,ASM421647v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassococcus,Thalassococcus sp. S3
GCF_004295125.1,GCF_004295125.1,[Clostridium] scindens ATCC 35704,411468,ASM429512v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens
GCF_004295345.1,GCF_004295345.1,Shewanella maritima,2520507,ASM429534v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella maritima
GCF_004295485.1,GCF_004295485.1,Janibacter limosus,53458,ASM429548v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Janibacter,Janibacter limosus
GCF_004295585.1,GCF_004295585.1,Cohnella abietis,2507935,ASM429558v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Paenibacillaceae,Cohnella,Cohnella abietis
GCF_004295645.1,GCF_004295645.1,Limnobaculum zhutongyuii,2498113,ASM429564v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,Limnobaculum,Limnobaculum zhutongyuii
GCF_004295665.1,GCF_004295665.1,Litorilituus sediminis,718192,ASM429566v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Litorilituus,Litorilituus sediminis
GCF_004295685.1,GCF_004295685.1,Fluviispira sanaruensis,2493639,ASM429568v1,resolved,Bacteria,Pseudomonadati,Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,Fluviispira,Fluviispira sanaruensis
GCF_004296475.1,GCF_004296475.1,endosymbiont of Sipalinus gigas,1972134,ASM429647v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,,,Candidatus Nardonella,endosymbiont of Sipalinus gigas
GCF_004299785.2,GCF_004299785.2,Arcobacter porcinus,1935204,ASM429978v2,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter porcinus
GCF_004299845.1,GCF_004299845.1,Verrucomicrobia bacterium S94,2488809,ASM429984v1,resolved,Bacteria,Pseudomonadati,Verrucomicrobiota,,,,,Verrucomicrobia bacterium S94
GCF_004322755.1,GCF_004322755.1,Pseudoduganella albidiflava,321983,ASM432275v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,Pseudoduganella albidiflava
GCF_004322855.1,GCF_004322855.1,Egibacter rhizosphaerae,1670831,ASM432285v1,resolved,Bacteria,Bacillati,Actinomycetota,Nitriliruptoria,Egibacterales,Egibacteraceae,Egibacter,Egibacter rhizosphaerae
GCF_004323735.1,GCF_004323735.1,Streptomonospora litoralis,2498135,ASM432373v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Streptomonospora,Streptomonospora litoralis
GCF_004328495.1,GCF_004328495.1,Agrobacterium sp. 33MFTa1.1,1279031,ASM432849v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium sp. 33MFTa1.1
GCF_004328535.1,GCF_004328535.1,Kocuria marina subsp. indica,1049583,ASM432853v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,Kocuria marina
GCF_004328555.1,GCF_004328555.1,Haematobacter massiliensis,195105,ASM432855v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Haematobacter,Haematobacter massiliensis
GCF_004328865.1,GCF_004328865.1,Pseudoalteromonas carrageenovora,227,ASM432886v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas carrageenovora
GCF_004328945.1,GCF_004328945.1,Aquitalea sp. USM4,1590041,ASM432894v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquitalea,Aquitalea sp. USM4
GCF_004331955.1,GCF_004331955.1,Roseitalea porphyridii,1852022,ASM433195v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ahrensiaceae,Roseitalea,Roseitalea porphyridii
GCF_004337365.2,GCF_004337365.2,Rhizosphaericola mali,2545455,ASM433736v2,resolved,Bacteria,Pseudomonadati,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Rhizosphaericola,Rhizosphaericola mali
GCF_004345025.1,GCF_004345025.1,Rheinheimera sp. D18,2545632,ASM434502v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. D18
GCF_004346925.1,GCF_004346925.1,Stenotrophomonas oleivorans,2282124,ASM434692v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas oleivorans
GCF_004353225.1,GCF_004353225.1,Marinobacter sp. JH2,2547598,ASM435322v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. JH2
GCF_004353865.1,GCF_004353865.1,Hydrogenophaga pseudoflava,47421,ASM435386v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga pseudoflava
GCF_004358325.1,GCF_004358325.1,Periweissella cryptocerci,2506420,ASM435832v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Periweissella,Periweissella cryptocerci
GCF_004359375.1,GCF_004359375.1,Acetilactobacillus jinshanensis,1720083,ASM435937v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus,Acetilactobacillus jinshanensis
GCF_004367585.1,GCF_004367585.1,Paenisporosarcina antarctica,417367,ASM436758v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Caryophanaceae,Paenisporosarcina,Paenisporosarcina antarctica
GCF_004367745.1,GCF_004367745.1,Herbaspirillum huttiense,863372,ASM436774v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum huttiense
GCF_004379295.1,GCF_004379295.1,Sporosarcina pasteurii,1474,ASM437929v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Caryophanaceae,Sporosarcina,Sporosarcina pasteurii
GCF_004421005.1,GCF_004421005.1,Pseudoduganella plicata,321984,ASM442100v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,Pseudoduganella plicata
GCF_004421025.1,GCF_004421025.1,Sphingobacterium psychroaquaticum,561061,ASM442102v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium psychroaquaticum
GCF_004421105.1,GCF_004421105.1,Nitrosococcus wardiae,1814290,ASM442110v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus wardiae
GCF_004519465.1,GCF_004519465.1,Saccharomonospora xinjiangensis,75294,ASM451946v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora xinjiangensis
GCF_004519515.1,GCF_004519515.1,Actinobacillus indolicus,51049,ASM451951v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus indolicus
GCF_004526235.1,GCF_004526235.1,Sphingobacterium sp. CZ-2,2557994,ASM452623v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp. CZ-2
GCF_004551665.1,GCF_004551665.1,Kerstersia gyiorum,206506,ASM455166v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Kerstersia,Kerstersia gyiorum
GCF_004564075.1,GCF_004564075.1,Microbacterium sediminis,904291,ASM456407v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sediminis
GCF_004564355.1,GCF_004564355.1,Microbacterium wangchenii,2541726,ASM456435v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium wangchenii
GCF_004564375.1,GCF_004564375.1,Nocardioides euryhalodurans,2518370,ASM456437v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides euryhalodurans
GCF_004571175.1,GCF_004571175.1,Legionella israelensis,454,ASM457117v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella israelensis
GCF_004571195.1,GCF_004571195.1,Legionella geestiana,45065,ASM457119v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella geestiana
GCF_004634385.1,GCF_004634385.1,Thermaerobacter sp. FW80,2546351,ASM463438v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,Thermaerobacter sp. FW80
GCF_004634405.1,GCF_004634405.1,Nocardia sp. CS682,1047172,ASM463440v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia sp. CS682
GCF_004683885.1,GCF_004683885.1,Brevundimonas sp. MF30-B,2561924,ASM468388v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp. MF30-B
GCF_004683965.1,GCF_004683965.1,Nocardioides seonyuensis,2518371,ASM468396v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides seonyuensis
GCF_004684265.1,GCF_004684265.1,Serratia quinivorans,137545,ASM468426v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia quinivorans
GCF_004751985.1,GCF_004751985.1,Rhodophyticola sp. CCM32,2916397,ASM475198v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Rhodophyticola,Rhodophyticola sp. CCM32
GCF_004752005.1,GCF_004752005.1,Thalassotalea sp. HSM 43,2552945,ASM475200v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea sp. HSM 43
GCF_004768525.1,GCF_004768525.1,Arsenophonus nasoniae,638,ASM476852v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Arsenophonus nasoniae
GCF_004768545.1,GCF_004768545.1,Cupriavidus oxalaticus,96344,ASM476854v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus oxalaticus
GCF_004771075.1,GCF_004771075.1,Weissella confusa,1583,ASM477107v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa
GCF_004777465.1,GCF_004777465.1,Nocardioides daphniae,402297,ASM477746v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides daphniae
GCF_004792515.1,GCF_004792515.1,Vagococcus xieshaowenii,2562451,ASM479251v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus xieshaowenii
GCF_004795735.1,GCF_004795735.1,Corynebacterium endometrii,2488819,ASM479573v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium endometrii
GCF_004795775.1,GCF_004795775.1,Psychrobacter sp. PAMC27889,2565557,ASM479577v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. PAMC27889
GCF_004795855.1,GCF_004795855.1,Hydrogenophaga sp. PAMC20947,2565558,ASM479585v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. PAMC20947
GCF_004795895.1,GCF_004795895.1,Sphingopyxis sp. PAMC25046,2565556,ASM479589v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingopyxidaceae,Sphingopyxis,Sphingopyxis sp. PAMC25046
GCF_004797125.1,GCF_004797125.1,Flavobacterium sangjuense,2518177,ASM479712v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sangjuense
GCF_004798685.1,GCF_004798685.1,Cellulomonas shaoxiangyii,2566013,ASM479868v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas shaoxiangyii
GCF_004798705.1,GCF_004798705.1,Arthrobacter sp. PAMC25564,2565366,ASM479870v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. PAMC25564
GCF_004799645.1,GCF_004799645.1,Natronorubrum bangense,61858,ASM479964v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum bangense
GCF_004799665.1,GCF_004799665.1,Halapricum salinum,1457250,ASM479966v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum
GCF_004799685.1,GCF_004799685.1,Halobellus limi,699433,ASM479968v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus limi
GCF_004802635.2,GCF_004802635.2,Methylocystis heyeri,391905,ASM480263v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Methylocystis heyeri
GCF_004803715.2,GCF_004803715.2,Luteimonas yindakuii,2565782,ASM480371v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Luteimonas,Luteimonas yindakuii
GCF_004803735.1,GCF_004803735.1,Halomicrobium mukohataei,57705,ASM480373v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei
GCF_004804395.1,GCF_004804395.1,Enterobacter bugandensis,881260,ASM480439v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter bugandensis
GCF_004843725.1,GCF_004843725.1,Psychroserpens sp. NJDZ02,2570561,ASM484372v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,Psychroserpens sp. NJDZ02
GCF_004851605.1,GCF_004851605.1,Hydrocarboniclastica marina,2259620,ASM485160v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Hydrocarboniclastica,Hydrocarboniclastica marina
GCF_004916735.1,GCF_004916735.1,Salinivibrio sp. YCSC6,2003370,ASM491673v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,Salinivibrio sp. YCSC6
GCF_004924335.1,GCF_004924335.1,Mycobacteroides salmoniphilum,404941,ASM492433v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides salmoniphilum
GCF_005083985.2,GCF_005083985.2,Caminibacter pacificus,1424653,ASM508398v2,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Caminibacter,Caminibacter pacificus
GCF_005121165.1,,,,,missing,,,,,,,,
GCF_005144885.1,GCF_005144885.1,Phreatobacter stygius,1940610,ASM514488v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phreatobacteraceae,Phreatobacter,Phreatobacter stygius
GCF_005144905.1,GCF_005144905.1,Vibrio cyclitrophicus,47951,ASM514490v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cyclitrophicus
GCF_005145005.1,GCF_005145005.1,Vagococcus zengguangii,2571750,ASM514500v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus zengguangii
GCF_005145025.1,GCF_005145025.1,Novosphingobium sp. EMRT-2,2571749,ASM514502v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. EMRT-2
GCF_005145045.1,GCF_005145045.1,Agrobacterium larrymoorei,160699,ASM514504v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium larrymoorei
GCF_005155585.1,GCF_005155585.1,Haloprofundus sp. MHR1,2572921,ASM515558v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloprofundus,Haloprofundus sp. MHR1
GCF_005166025.1,GCF_005166025.1,Mangrovivirga cuniculi,2715131,ASM516602v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Cytophagia,Cytophagales,Mangrovivirgaceae,Mangrovivirga,Mangrovivirga cuniculi
GCF_005221285.1,GCF_005221285.1,Neisseria flavescens,484,ASM522128v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria flavescens
GCF_005221305.1,GCF_005221305.1,Neisseria subflava,28449,ASM522130v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria subflava
GCF_005221365.1,GCF_005221365.1,Agrobacterium pusense,648995,ASM522136v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium pusense
GCF_005222525.1,GCF_005222525.1,Metallosphaera sedula,43687,ASM522252v1,resolved,Archaea,Thermoproteati,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula
GCF_005234115.1,GCF_005234115.1,Elizabethkingia sp. 2-6,2575699,ASM523411v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia sp. 2-6
GCF_005234135.1,GCF_005234135.1,Pseudorhodobacter turbinis,2500533,ASM523413v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudorhodobacter,Pseudorhodobacter turbinis
GCF_005239365.1,GCF_005239365.1,Vibrio neocaledonicus,1208308,ASM523936v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio neocaledonicus
GCF_005280275.1,GCF_005280275.1,Salinivibrio kushneri,1908198,ASM528027v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,Salinivibrio kushneri
GCF_005280295.1,GCF_005280295.1,Brevibacterium sp. CS2,2575923,ASM528029v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium sp. CS2
GCF_005280315.1,GCF_005280315.1,Pseudoduganella umbonata,864828,ASM528031v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,Pseudoduganella umbonata
GCF_005280655.1,GCF_005280655.1,Anaerostipes rhamnosivorans,1229621,ASM528065v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes rhamnosivorans
GCF_005281435.1,GCF_005281435.1,Pantoea sp. SO10,2575375,ASM528143v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea sp. SO10
GCF_005304985.1,GCF_005304985.1,Duncaniella sp. B8,2576606,ASM530498v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella sp. B8
GCF_005347505.1,GCF_005347505.1,Enterococcus avium,33945,ASM534750v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus avium
GCF_005377625.1,GCF_005377625.1,Desulfoglaeba alkanexedens ALDC,980445,ASM537762v1,resolved,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfoglaeba,Desulfoglaeba alkanexedens
GCF_005484585.1,GCF_005484585.1,Brevundimonas sp. SGAir0440,2579977,ASM548458v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp. SGAir0440
GCF_005484925.1,,,,,missing,,,,,,,,
GCF_005484945.1,GCF_005484945.1,Brenneria rubrifaciens,55213,ASM548494v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Brenneria rubrifaciens
GCF_005484965.1,GCF_005484965.1,Brenneria nigrifluens DSM 30175 = ATCC 13028,1121120,ASM548496v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Brenneria nigrifluens
GCF_005484985.1,GCF_005484985.1,Agrococcus sp. SGAir0287,2070347,ASM548498v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agrococcus,Agrococcus sp. SGAir0287
GCF_005490785.1,GCF_005490785.1,Brachybacterium sp. SGAir0954,2571029,ASM549078v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium sp. SGAir0954
